[ID],[BallNo],[Comment],[Page URL]
"50","6.3","Mathews to Ali, 1 run, Moeen reaches for a wide one and drives through cover for one more","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"51","6.4","Mathews to Taylor, no run, Taylor skips down the track but is met with a short of a length ball that cramps him for room, he ends up playing it towards the bowler","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"52","6.5","Mathews to Taylor, 1 run, gosh Taylor is quick, he drove a fuller ball firmly towards mid-on and sprinted away for a single, the fielder ran to his left, picked up and hit the stumps direct at the non-striker's end, Taylor was safe again","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"53","6.6","Mathews to Ali, 1 run, Moeen stays back and drives through cover for a single","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"54","Dilshan to bowl, offbreaks from round the wicket to Moeen.","Dilshan to bowl, offbreaks from round the wicket to Moeen.","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"55","7.1","Dilshan to Ali, no run, tight line and length, wicket to wicket, Moeen stays in his crease and blocks","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"56","7.2","Dilshan to Ali, OUT, oh my! Moeen stepped out of his crease and had an almighty heave, he wasn't close to the pitch of the ball and it fell well short of him and spun away to beat the bat, the keeper had loads of time to make the stumping. Hang on, Sangakkara said there was an edge. Either way, that's out.","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"57","MM Ali c †Sangakkara b Dilshan 19 (37m 20b 3x4 0x6) SR: 95.00","MM Ali c †Sangakkara b Dilshan 19 (37m 20b 3x4 0x6) SR: 95.00","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"58","Over the wicket to the right-hander.","Over the wicket to the right-hander.","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"59","7.3","Dilshan to Root, 1 run, nudged off the pads off the back foot through midwicket for a single","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"60","7.4","Dilshan to Taylor, no run, Taylor tries to cut off the back foot but is beaten outside off stump","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"61","7.5","Dilshan to Taylor, no run, worked off the pads through square for a single","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
